country,number,energy_normalized,circles_curves_normalized,axis_points_normalized,synchronous_limbs_normalized,external_body_spaces_normalized,shifting_relations_normalized,jumping_normalized,emotion_normalized,key_head_x_normalized,key_head_y_normalized,key_head_z_normalized,key_left_hand_x_normalized,key_left_hand_y_normalized,key_left_hand_z_normalized,key_right_hand_x_normalized,key_right_hand_y_normalized,key_right_hand_z_normalized,key_left_arm_x_normalized,key_left_arm_y_normalized,key_left_arm_z_normalized,key_right_arm_x_normalized,key_right_arm_y_normalized,key_right_arm_z_normalized,key_left_leg_x_normalized,key_left_leg_y_normalized,key_left_leg_z_normalized,key_right_leg_x_normalized,key_right_leg_y_normalized,key_right_leg_z_normalized,key_body_x_normalized,key_body_y_normalized,key_body_z_normalized,key_left_foot_x_normalized,key_left_foot_y_normalized,key_left_foot_z_normalized,key_right_foot_x_normalized,key_right_foot_y_normalized,key_right_foot_z_normalized,key_head_x_raw,key_head_y_raw,key_head_z_raw,key_left_hand_x_raw,key_left_hand_y_raw,key_left_hand_z_raw,key_right_hand_x_raw,key_right_hand_y_raw,key_right_hand_z_raw,key_left_arm_x_raw,key_left_arm_y_raw,key_left_arm_z_raw,key_right_arm_x_raw,key_right_arm_y_raw,key_right_arm_z_raw,key_left_leg_x_raw,key_left_leg_y_raw,key_left_leg_z_raw,key_right_leg_x_raw,key_right_leg_y_raw,key_right_leg_z_raw,key_body_x_raw,key_body_y_raw,key_body_z_raw,key_left_foot_x_raw,key_left_foot_y_raw,key_left_foot_z_raw,key_right_foot_x_raw,key_right_foot_y_raw,key_right_foot_z_raw
Brunei_Darussalam,01,10.90909,37.17949,51.35135,93.54839,20.28986,14.0625,3.77358,22.58065,67.71273,15.91097,73.51316,43.38131,27.22246,49.21128,41.43947,30.71464,64.04539,50.24362,21.5916,65.05327,39.1476,24.71559,57.882,67.44388,78.01511,51.00675,50.58791,70.00681,53.66049,63.19736,15.50746,66.6517,69.91413,74.98963,56.53833,65.44538,74.65047,50.79869,0.2220341,-2.3304461,-0.7331404,0.4517653,-2.2821404,-0.5770093,-0.0524141,-2.2318938,-0.9022959,0.8224494,-1.7645354,-0.5761706,-0.4465471,-1.7653635,-0.6208771,0.2059287,1.4272566,-0.1398963,-0.0835136,1.2190538,-0.3149824,0.1056986,-0.9263225,-0.0379017,-0.0866193,3.0180157,0.1486889,-0.1244387,2.8002101,-0.1343036
Brunei_Darussalam,02,45.45455,76.92308,22.97297,19.35484,50.72464,65.625,26.41509,33.87097,45.5865,15.48202,79.4248,19.43635,27.25727,51.09754,19.24056,34.48367,88.57531,21.75922,19.63629,62.81321,34.55526,26.52581,83.50533,58.55791,77.99876,45.96579,45.09743,68.96444,69.49291,52.76691,15.27083,69.30965,67.06811,76.10019,52.35867,58.77845,75.35703,59.48643,-0.7637847,-2.3936707,-0.3531099,-1.0070085,-2.2761826,-0.4447974,-1.2177679,-1.6066447,0.3615983,-0.6255241,-2.0260826,-0.6921812,-0.6535789,-1.5328865,0.5610894,-0.2459235,1.4258862,-0.2633599,-0.3010544,1.1383725,0.0789169,-0.1087431,-0.9413046,0.0235313,-0.4213053,3.1617422,-0.0264201,-0.6430714,2.9138196,0.2115729
Brunei_Darussalam,03,36.36364,74.35897,37.83784,13.97849,43.47826,60.9375,7.54717,25.80645,78.53255,14.8565,84.80788,57.42918,34.43099,72.24197,57.44603,26.74855,85.79206,50.85549,23.22315,93.77965,69.04829,17.67285,65.73205,70.25694,78.60235,76.35876,66.02272,69.91493,50.02827,67.17759,13.35417,76.14126,73.80855,75.92514,73.57378,72.07841,75.48066,47.56362,0.7041037,-2.4858667,-0.0070581,1.3075882,-1.0486079,1.0372553,0.7878658,-2.8898345,0.2181926,0.8535533,-1.5462947,0.9115407,0.9014362,-2.6698274,-0.2587656,0.3489727,1.4764978,0.4810274,0.528036,1.2119421,-0.4053493,0.1875289,-1.0626534,0.1814296,0.3713577,3.1390885,0.8623977,0.3915571,2.9336997,-0.2630984
Brunei_Darussalam,04,61.81818,69.23077,50.0,23.65591,71.01449,81.25,5.66038,51.6129,81.70698,20.58108,70.82837,65.93437,39.63188,50.93539,51.81972,31.3531,66.42588,57.10589,30.67135,69.4501,48.37945,22.56343,57.93055,62.14577,76.62748,58.22624,43.204,67.15124,64.69067,70.86102,19.41426,63.71042,67.39271,70.82535,61.32024,56.2831,70.8327,57.68496,0.845538,-1.6421029,-0.9057328,1.8257408,-0.1586266,-0.4561626,0.4925072,-2.1259796,-0.7796424,1.1712855,-0.5500039,-0.348463,-0.0303567,-2.0417553,-0.6186373,-0.0634807,1.310903,0.0369242,-0.376075,0.9980281,-0.0405593,0.2632571,-0.6789729,-0.1058832,-0.3831334,2.4790811,0.3490297,-0.8371899,2.1863413,0.1398528
Brunei_Darussalam,05,52.72727,70.51282,45.94595,20.43011,63.76812,79.6875,5.66038,43.54839,45.08781,16.48817,70.80077,29.19897,24.81911,50.49959,4.51605,40.53698,72.5447,38.85459,15.32913,60.3587,23.73231,31.51818,69.05896,70.53149,80.31362,50.62165,47.00715,70.97926,62.64145,53.24644,15.44355,64.24107,76.71816,76.56014,54.66329,65.17083,76.24664,50.10946,-0.7860034,-2.2453709,-0.9075072,-0.4122508,-2.6934044,-0.4867088,-1.9907457,-0.6024523,-0.4643723,0.2435005,-2.6022205,-0.8192977,-1.1414996,-0.891741,-0.1053005,0.362934,1.6199888,-0.1493281,-0.2253887,1.2943231,-0.0915425,-0.0988843,-0.9303693,-0.0936183,0.7135221,3.2212686,0.0701332,-0.1457967,3.0568625,-0.1617433
Brunei_Darussalam,06,25.45455,62.82051,52.7027,15.05376,34.78261,67.1875,3.77358,41.93548,66.61692,19.11338,69.40539,53.02078,40.23227,59.91375,34.01081,43.71984,72.20395,52.75296,28.76773,77.59389,39.25714,33.17153,65.51099,72.23952,78.26014,50.85838,56.83061,70.23149,45.14237,60.23878,16.62554,67.27071,72.24383,76.2635,52.70044,69.5098,75.88182,44.05808,0.1732112,-1.858433,-0.9972095,1.0390204,-0.0558865,0.1731474,-0.4423892,-0.0744431,-0.4819294,0.9500088,-0.8046362,0.0732958,-0.441609,-0.6794091,-0.2689631,0.449787,1.4478031,-0.14353,0.1638314,1.2364447,-0.526907,0.0448726,-0.8555344,-0.0235944,0.1873496,3.1828784,-0.0121012,0.19174,2.9982027,-0.4026611
Brunei_Darussalam,07,43.63636,61.53846,43.24324,13.97849,43.47826,71.875,15.09434,45.16129,52.93449,17.57147,73.73489,21.20322,38.51043,49.77742,21.34152,41.4039,84.50714,28.22533,27.67992,61.26396,37.95249,31.19153,78.55621,59.68336,77.37025,50.52533,52.36129,68.95968,72.92513,58.26177,16.69557,65.87371,68.44487,73.78918,57.0332,65.10877,74.39585,62.49432,-0.4363999,-2.0856992,-0.7188866,-0.8993669,-0.3505297,-0.5373274,-1.107476,-0.4586372,0.1519875,-0.296826,-0.9501452,-0.7724154,-0.5004253,-0.9336911,0.3327937,-0.1886943,1.3731845,-0.1516871,-0.0132496,1.1380044,0.1643082,0.0042268,-0.8511006,-0.0558833,-0.2594016,2.8626556,0.1694218,-0.1506243,2.7592692,0.3313231
Indonesia,01,40.0,24.35897,48.64865,30.10753,42.02899,53.125,0.0,67.74194,64.48943,21.30971,60.20521,61.8849,39.1084,45.98101,25.35921,44.72103,63.2596,53.90701,28.67917,61.95113,26.45073,34.35458,55.41081,92.30428,64.1154,36.95822,31.95354,61.47678,46.65671,56.49551,20.43711,54.56415,89.80494,63.13861,53.06835,43.7142,68.00826,47.68447,0.0784223,-1.5347082,-1.5886442,1.5790396,-0.248205,-0.8034247,-0.8965633,0.091645,-0.9427837,1.0086738,-0.8164832,-0.7368273,-1.0189477,-0.5274759,-0.7348693,1.4700816,0.2617538,-0.483974,-0.8218345,0.5588149,-0.4892313,-0.0320861,-0.6142138,-0.3172801,2.2525015,1.4842754,0.0033126,-1.8149474,1.7321905,-0.2582868
Indonesia,02,30.90909,16.66667,85.13514,93.54839,27.53623,20.3125,0.0,74.19355,60.30241,22.77504,65.76025,40.66234,34.38537,42.10839,36.92979,37.66176,58.62347,50.69444,28.58433,58.98355,32.32709,32.84645,53.96748,60.12447,73.26988,54.38674,37.69717,64.13733,57.41215,60.04185,20.81797,60.00479,66.78325,64.93025,66.31152,50.80797,66.8089,58.42598,-0.1081273,-1.3187285,-1.2315377,0.2861202,-1.0564142,-1.0748642,-0.2891542,-1.0794261,-1.1816581,0.8453664,-0.8291686,-0.8905153,-0.7540294,-0.7211574,-0.801448,-0.1662641,1.0293652,-0.0571133,-0.5942637,0.764746,-0.2216436,0.0408237,-0.5901007,-0.1915311,-0.4548046,1.7161468,0.5581416,-1.2631098,1.5393429,0.1693542
Indonesia,03,52.72727,23.07692,32.43243,61.29032,50.72464,42.1875,0.0,77.41935,62.694,21.03581,62.58134,64.12902,36.1491,55.33925,36.00469,42.00667,72.67596,58.54969,26.05478,69.65746,33.98659,33.26072,66.55849,83.13999,70.50102,38.86743,30.53729,63.24953,57.90274,60.39054,19.40964,59.72783,81.01137,67.05424,58.86965,43.13122,68.8289,49.97851,-0.0015717,-1.5750791,-1.4358943,1.7157556,-0.7546031,-0.1474883,-0.3377186,-0.3586435,-0.4576092,1.2446796,-1.1675287,-0.3377238,-0.679216,-0.667955,-0.2206432,1.0040769,0.7971935,-0.4372134,-0.8779486,0.6960287,-0.2094381,0.0479926,-0.6792652,-0.1979323,1.2183955,1.9910299,0.2463608,-1.8602988,1.8641443,-0.1669565
Indonesia,04,43.63636,17.94872,77.02703,78.49462,26.08696,37.5,0.0,75.80645,63.58395,21.4557,70.60289,45.43598,36.48498,52.28302,41.83851,38.49357,68.11169,45.10535,30.10512,74.55735,35.02916,34.75248,62.59788,92.07595,69.5863,44.39112,53.85671,64.67706,43.74335,58.12071,20.13587,68.04285,87.12113,69.30161,55.36426,52.96172,71.17458,41.91962,0.0380793,-1.5131902,-0.9202275,0.5769396,-0.6971277,-0.3617051,-0.0314662,-0.941437,-0.6927814,0.561251,-0.6257438,-0.0839633,-0.6322147,-0.4763764,-0.4033403,1.4584708,0.7204934,-0.3019268,0.0460009,0.8065223,-0.5617137,0.0013267,-0.6332859,-0.005748,1.9368911,2.2818817,0.0995008,-1.0955658,2.2413127,-0.4877973
Indonesia,05,63.63636,64.10256,10.81081,12.90323,79.71014,81.25,0.0,82.25806,89.59067,8.10345,74.55603,55.52463,32.53199,73.91863,49.10631,32.84393,67.59829,53.61926,21.4172,91.11549,52.35883,18.57002,58.69794,45.84256,85.76543,55.97156,36.39488,76.20615,28.80435,83.39567,8.02704,72.54532,59.20159,84.65979,48.30864,52.22433,80.74004,22.61683,1.1967903,-3.4812204,-0.6660998,1.1915593,-1.3735667,1.1547757,0.3500641,-1.8786631,-0.7192341,0.9940465,-1.7878635,0.7735668,0.1490416,-2.5546082,-0.5832388,-0.8924997,2.0771282,-0.0182977,-0.6458623,1.6988939,-0.9333853,0.5209596,-1.3999276,0.0983171,-1.3463926,4.269512,-0.1960981,-1.1529287,3.7793694,-1.2562803
Indonesia,06,58.18182,43.58974,18.91892,56.98925,71.01449,40.625,0.0,75.80645,62.98007,19.87364,69.36667,54.39147,29.27673,51.43367,9.52533,38.89486,75.38199,58.37541,23.59005,68.90795,25.56568,29.06461,68.00221,89.15634,68.89007,35.78079,28.13241,60.70794,44.89962,59.07778,18.3479,64.86856,81.27576,68.69018,47.60566,53.72243,69.60831,51.73488,0.0111738,-1.7463748,-0.9996981,1.1225254,-1.9306104,-0.4212373,-1.7277787,-0.8748662,-0.3181822,1.2358199,-1.4972177,-0.3765403,-1.0588476,-1.206841,-0.1540465,1.3100084,0.6621142,-0.5128118,-0.9732333,0.499305,-0.5329465,0.0210033,-0.746487,-0.0791151,1.2494862,2.2027512,-0.2255498,-1.0363892,1.9894669,-0.0970318
Indonesia,07,61.81818,37.17949,16.21622,29.03226,72.46377,65.625,0.0,77.41935,66.15576,19.37584,84.58936,28.54096,37.31148,61.78684,93.94042,36.81325,67.86265,22.51849,31.10459,76.33699,88.15899,31.48158,61.41243,51.2182,82.54474,59.4075,96.01306,68.77998,35.04345,59.17997,20.01217,68.3197,54.81601,79.17867,51.09264,90.7418,75.90115,41.00124,0.1526644,-1.8197478,-0.0211057,-0.4523378,-0.5556946,0.3044357,2.7036749,-1.2201878,-0.7056131,-0.586927,-0.4920525,0.0082025,1.7629848,-0.8964419,-0.4580234,-0.619148,1.8070704,0.0658556,1.7162973,1.1240954,-0.7781609,0.0231043,-0.6411176,0.0006507,-1.862129,3.5601543,-0.0794609,1.8434168,3.0013112,-0.5243601
Indonesia,08,81.81818,25.64103,50.0,4.30108,56.52174,89.0625,83.01887,85.48387,58.51876,19.37175,68.14718,46.38398,37.30078,55.78176,26.97324,42.17971,74.05924,53.34654,26.34682,71.82288,32.88291,33.35188,70.42972,69.32679,74.15807,56.04809,50.18896,65.61118,72.64325,56.79213,18.58186,63.94774,73.41209,69.06083,68.08918,65.13489,69.8672,70.88255,-0.1875966,-1.8203504,-1.0780935,0.6346935,-0.5575258,-0.1164717,-0.8118331,-0.3299381,-0.3863365,0.9801828,-1.1284641,-0.2255789,-0.728972,-0.6562479,-0.042069,0.3016746,1.103841,-0.0164233,-0.0993207,0.8788248,0.1572951,-0.0259879,-0.7316742,-0.100398,0.3247345,2.2507205,0.6326177,-0.1485922,2.0310952,0.6652754
Indonesia,09,49.09091,23.07692,2.7027,95.69892,86.95652,3.125,0.0,74.19355,60.92693,20.90306,86.93499,30.72567,41.92179,60.0486,78.22883,36.0736,77.74249,24.92793,32.72801,76.58927,76.24199,29.7332,68.49641,54.27348,75.93671,62.20004,74.97963,66.34942,52.13225,59.03804,20.54872,70.99876,61.34997,68.50434,54.57338,77.81273,69.9441,43.66295,-0.0803022,-1.5946454,0.1296837,-0.3192412,0.2332259,0.1825994,1.8788791,-1.3428888,-0.1965581,-0.4644461,-0.274899,0.0212676,1.2257426,-1.120977,-0.1312497,-0.4637871,1.2529816,0.1342508,0.8829221,0.9359656,-0.3530039,0.0201863,-0.6071472,0.0625717,-1.0937477,2.1786993,0.0663662,0.8376403,2.0434606,-0.4183919
Indonesia,10,90.90909,38.46154,10.81081,13.97849,92.75362,87.5,88.67925,83.87097,80.48152,15.83454,90.29599,44.14627,35.6536,81.87802,81.37555,28.28373,92.96389,38.95914,25.98648,99.45453,83.94099,21.40533,74.23842,52.83334,81.14607,56.59941,17.12248,50.9849,38.27035,72.33418,15.52106,81.36861,67.31357,76.70924,64.33487,28.47406,62.17764,42.09699,0.7909386,-2.3417102,0.345746,0.4983676,-0.8393936,1.7126649,2.0440694,-2.6351612,0.5877182,0.2488151,-1.1766642,1.2054373,1.572829,-2.1904833,0.1336207,-0.5370181,1.6897907,-0.0029204,-1.4094628,-0.2532755,-0.6978779,0.2935442,-0.9254618,0.3022489,-0.39244,3.2405653,0.4753289,-3.0005066,0.7946695,-0.4807357
Indonesia,11,70.90909,50.0,36.48649,20.43011,63.76812,71.875,52.83019,83.87097,71.94341,20.87161,67.67989,50.86497,36.35233,47.52659,40.36662,39.54979,67.54523,51.64604,32.34199,66.70104,45.11362,33.81632,66.80572,64.09646,74.99485,49.10331,33.55054,50.18637,32.71804,68.04481,20.78388,65.44737,69.88664,70.09554,59.05309,51.9284,62.72996,40.05402,0.4105292,-1.5992812,-1.1081331,0.9076844,-0.719827,-0.6950924,-0.1087346,-0.7662192,-0.7219681,0.8937399,-0.3265335,-0.490834,-0.1775871,-0.5966021,-0.2092388,0.035712,1.1740058,-0.1865153,-0.758559,-0.3150828,-0.8360156,0.2053583,-0.5922589,-0.0657372,-0.0898517,2.3846305,0.2540463,-1.1759496,0.8834786,-0.5620707
Indonesia,12,92.72727,44.87179,10.81081,7.52688,78.26087,96.875,98.11321,91.93548,85.95998,21.74109,66.04241,63.83376,30.96471,45.16517,61.82633,31.44557,69.2185,76.59345,30.23298,50.55623,70.24159,29.58574,60.76779,40.83346,64.01174,40.23042,11.62457,50.10807,56.60751,86.20302,23.52645,59.03459,42.21857,51.0749,38.56327,14.05184,53.02607,32.85519,1.0350278,-1.4711259,-1.2133987,1.6977679,-1.641762,-0.8606085,1.017814,-2.1106396,-0.6357535,2.1619142,-0.6086402,-1.326958,0.9552324,-1.1399143,-0.4877599,-1.147213,0.2530615,-0.4038311,-1.6272981,-0.3211433,-0.2416625,0.5786764,-0.4186195,-0.2139551,-3.343563,-0.0769902,-0.6043853,-4.1224377,-0.6768381,-0.8486705
Indonesia,13,61.81818,43.58974,17.56757,12.90323,71.01449,81.25,0.0,83.87097,64.00818,17.23733,71.0303,59.19505,23.66895,48.12362,23.07689,36.38199,60.14336,56.71261,18.70546,67.80237,34.1796,30.55363,63.21597,84.48721,72.32194,36.25065,23.38686,63.45219,39.3426,61.25883,15.67309,67.52606,83.48868,71.41538,50.78692,38.97172,71.75948,40.48301,0.0569805,-2.1349486,-0.8927515,1.4151687,-2.8902212,-0.6532449,-1.0163762,-1.2917293,-1.1033465,1.1512933,-2.1505934,-0.4337971,-0.6705148,-1.0156127,-0.3748287,1.072583,0.9498796,-0.5013038,-1.1612589,0.7117147,-0.6712011,0.0658439,-0.9158363,-0.0176925,1.5097213,2.5554421,-0.0922694,-2.1838741,2.3353598,-0.5449916
