country,number,energy,circles_curves,axis_points,synchronous_limbs,external_body_spaces,shifting_relations,jumping,emotion,energy_normalized,circles_curves_normalized,axis_points_normalized,synchronous_limbs_normalized,external_body_spaces_normalized,shifting_relations_normalized,jumping_normalized,emotion_normalized
Brunei_Darussalam,01,38,47,48,92,42,39,2,44,10.909,37.179,51.351,93.548,20.29,14.062,3.774,22.581
Brunei_Darussalam,02,57,78,27,23,63,72,14,51,45.455,76.923,22.973,19.355,50.725,65.625,26.415,33.871
Brunei_Darussalam,03,52,76,38,18,58,69,4,46,36.364,74.359,37.838,13.978,43.478,60.938,7.547,25.806
Brunei_Darussalam,04,66,72,47,27,77,82,3,62,61.818,69.231,50.0,23.656,71.014,81.25,5.66,51.613
Brunei_Darussalam,05,61,73,44,24,72,81,3,57,52.727,70.513,45.946,20.43,63.768,79.688,5.66,43.548
Brunei_Darussalam,06,46,67,49,19,52,73,2,56,25.455,62.821,52.703,15.054,34.783,67.188,3.774,41.935
Brunei_Darussalam,07,56,66,42,18,58,76,8,58,43.636,61.538,43.243,13.978,43.478,71.875,15.094,45.161
Indonesia,01,54,37,46,33,57,64,0,72,40.0,24.359,48.649,30.108,42.029,53.125,0.0,67.742
Indonesia,02,49,31,73,92,47,43,0,76,30.909,16.667,85.135,93.548,27.536,20.312,0.0,74.194
Indonesia,03,61,36,34,62,63,57,0,78,52.727,23.077,32.432,61.29,50.725,42.188,0.0,77.419
Indonesia,04,56,32,67,78,46,54,0,77,43.636,17.949,77.027,78.495,26.087,37.5,0.0,75.806
Indonesia,05,67,68,18,17,83,82,0,81,63.636,64.103,10.811,12.903,79.71,81.25,0.0,82.258
Indonesia,06,64,52,24,58,77,56,0,77,58.182,43.59,18.919,56.989,71.014,40.625,0.0,75.806
Indonesia,07,66,47,22,32,78,72,0,78,61.818,37.179,16.216,29.032,72.464,65.625,0.0,77.419
Indonesia,08,77,38,47,9,67,87,44,83,81.818,25.641,50.0,4.301,56.522,89.062,83.019,85.484
Indonesia,09,59,36,12,94,88,32,0,76,49.091,23.077,2.703,95.699,86.957,3.125,0.0,74.194
Indonesia,10,82,48,18,18,92,86,47,82,90.909,38.462,10.811,13.978,92.754,87.5,88.679,83.871
Indonesia,11,71,57,37,24,72,76,28,82,70.909,50.0,36.486,20.43,63.768,71.875,52.83,83.871
Indonesia,12,83,53,18,12,82,92,52,87,92.727,44.872,10.811,7.527,78.261,96.875,98.113,91.935
Indonesia,13,66,52,23,17,77,82,0,82,61.818,43.59,17.568,12.903,71.014,81.25,0.0,83.871
Indonesia,14,53,34,52,93,57,32,0,76,38.182,20.513,56.757,94.624,42.029,3.125,0.0,74.194
Indonesia,15,67,73,18,12,83,87,0,82,63.636,70.513,10.811,7.527,79.71,89.062,0.0,83.871
Indonesia,16,54,42,37,63,52,56,0,77,40.0,30.769,36.486,62.366,34.783,40.625,0.0,75.806
Indonesia,17,78,47,18,68,92,71,46,82,83.636,37.179,10.811,67.742,92.754,64.062,86.792,83.871
Indonesia,18,62,32,22,68,93,49,0,77,54.545,17.949,16.216,67.742,94.203,29.688,0.0,75.806
Indonesia,19,61,42,53,8,57,87,0,87,52.727,30.769,58.108,3.226,42.029,89.062,0.0,91.935
Indonesia,20,62,63,57,23,57,77,0,82,54.545,57.692,63.514,19.355,42.029,73.438,0.0,83.871
Indonesia,21,53,52,42,28,62,72,0,72,38.182,43.59,43.243,24.731,49.275,65.625,0.0,67.742
Indonesia,22,48,57,68,73,47,62,0,72,29.091,50.0,78.378,73.118,27.536,50.0,0.0,67.742
Indonesia,23,67,52,47,12,72,87,0,87,63.636,43.59,50.0,7.527,63.768,89.062,0.0,91.935
Indonesia,24,72,47,42,8,77,92,0,87,72.727,37.179,43.243,3.226,71.014,96.875,0.0,91.935
Indonesia,25,77,63,12,47,97,77,0,87,81.818,57.692,2.703,45.161,100.0,73.438,0.0,91.935
Indonesia,26,67,52,12,83,92,43,0,82,63.636,43.59,2.703,83.871,92.754,20.312,0.0,83.871
Indonesia,27,87,58,12,17,97,92,53,92,100.0,51.282,2.703,12.903,100.0,96.875,100.0,100.0
Indonesia,28,72,58,42,12,82,87,0,87,72.727,51.282,43.243,7.527,78.261,89.062,0.0,91.935
Indonesia,29,62,58,47,12,62,82,0,82,54.545,51.282,50.0,7.527,49.275,81.25,0.0,83.871
Indonesia,30,67,47,22,17,72,82,0,82,63.636,37.179,16.216,12.903,63.768,81.25,0.0,83.871
Indonesia,31,62,52,58,17,57,82,0,82,54.545,43.59,64.865,12.903,42.029,81.25,0.0,83.871
Indonesia,32,61,47,47,7,57,82,0,82,52.727,37.179,50.0,2.151,42.029,81.25,0.0,83.871
Indonesia,33,72,63,17,17,82,87,0,87,72.727,57.692,9.459,12.903,78.261,89.062,0.0,91.935
Indonesia,34,67,57,22,28,72,82,0,82,63.636,50.0,16.216,24.731,63.768,81.25,0.0,83.871
Indonesia,35,66,52,12,17,82,87,0,82,61.818,43.59,2.703,12.903,78.261,89.062,0.0,83.871
Indonesia,36,53,57,63,33,47,67,0,77,38.182,50.0,71.622,30.108,27.536,57.812,0.0,75.806
Indonesia,37,67,37,17,22,77,82,0,82,63.636,24.359,9.459,18.28,71.014,81.25,0.0,83.871
