country,number,energy,circles_curves,axis_points,synchronous_limbs,external_body_spaces,shifting_relations,jumping,emotion
Brunei_Darussalam,01,38,47,48,92,42,39,2,44
Brunei_Darussalam,02,57,78,27,23,63,72,14,51
Brunei_Darussalam,03,52,76,38,18,58,69,4,46
Brunei_Darussalam,04,66,72,47,27,77,82,3,62
Brunei_Darussalam,05,61,73,44,24,72,81,3,57
Brunei_Darussalam,06,46,67,49,19,52,73,2,56
Brunei_Darussalam,07,56,66,42,18,58,76,8,58
Indonesia,01,54,37,46,33,57,64,0,72
Indonesia,02,49,31,73,92,47,43,0,76
Indonesia,03,61,36,34,62,63,57,0,78
Indonesia,04,56,32,67,78,46,54,0,77
Indonesia,05,67,68,18,17,83,82,0,81
Indonesia,06,64,52,24,58,77,56,0,77
Indonesia,07,66,47,22,32,78,72,0,78
Indonesia,08,77,38,47,9,67,87,44,83
Indonesia,09,59,36,12,94,88,32,0,76
Indonesia,10,82,48,18,18,92,86,47,82
Indonesia,11,71,57,37,24,72,76,28,82
Indonesia,12,83,53,18,12,82,92,52,87
Indonesia,13,66,52,23,17,77,82,0,82
Indonesia,14,53,34,52,93,57,32,0,76
Indonesia,15,67,73,18,12,83,87,0,82
Indonesia,16,54,42,37,63,52,56,0,77
Indonesia,17,78,47,18,68,92,71,46,82
Indonesia,18,62,32,22,68,93,49,0,77
Indonesia,19,61,42,53,8,57,87,0,87
Indonesia,20,62,63,57,23,57,77,0,82
Indonesia,21,53,52,42,28,62,72,0,72
Indonesia,22,48,57,68,73,47,62,0,72
Indonesia,23,67,52,47,12,72,87,0,87
Indonesia,24,72,47,42,8,77,92,0,87
Indonesia,25,77,63,12,47,97,77,0,87
Indonesia,26,67,52,12,83,92,43,0,82
Indonesia,27,87,58,12,17,97,92,53,92
Indonesia,28,72,58,42,12,82,87,0,87
Indonesia,29,62,58,47,12,62,82,0,82
Indonesia,30,67,47,22,17,72,82,0,82
Indonesia,31,62,52,58,17,57,82,0,82
Indonesia,32,61,47,47,7,57,82,0,82
Indonesia,33,72,63,17,17,82,87,0,87
Indonesia,34,67,57,22,28,72,82,0,82
Indonesia,35,66,52,12,17,82,87,0,82
Indonesia,36,53,57,63,33,47,67,0,77
Indonesia,37,67,37,17,22,77,82,0,82
Indonesia,38,66,42,17,22,77,82,0,82
Indonesia,39,67,52,53,7,57,87,0,87
Indonesia,40,62,63,63,17,52,77,0,87
Indonesia,41,61,37,53,7,52,87,0,87
Indonesia,42,62,42,42,7,62,87,3,87
Indonesia,43,57,42,47,7,47,87,7,87
Indonesia,44,54,42,42,7,47,82,7,82
Indonesia,45,62,37,37,7,57,82,7,82
Indonesia,46,62,47,47,7,57,87,3,87
Indonesia,47,67,37,37,7,57,87,37,87
Indonesia,48,67,68,22,78,82,43,0,82
Indonesia,49,62,58,17,73,82,43,0,82
Indonesia,50,67,47,17,32,82,77,0,82
Indonesia,51,62,73,68,83,62,48,0,87
Indonesia,52,62,68,53,7,57,82,0,82
Indonesia,53,61,37,47,12,52,82,0,82
Indonesia,54,87,68,17,12,92,92,52,92
Indonesia,55,72,73,17,12,82,87,0,87
Indonesia,56,43,31,78,93,42,43,0,77
Indonesia,57,48,32,68,38,42,67,0,77
Laos,01,38,28,57,60,30,52,0,58
Laos,02,48,25,15,78,65,40,5,62
Laos,03,43,32,62,55,35,58,0,60
Laos,04,56,78,52,42,66,76,0,64
Laos,05,45,48,70,45,38,68,0,65
Laos,06,61,52,43,38,74,82,3,68
Laos,07,58,34,18,68,71,54,0,70
Laos,08,53,63,61,75,60,65,0,66
Laos,09,42,25,28,91,48,35,0,55
Laos,10,55,68,62,73,65,67,0,65
Laos,11,64,57,18,25,72,78,32,72
Laos,12,58,43,58,40,52,72,12,68
Laos,13,66,72,22,18,78,85,0,74
Laos,14,76,58,26,20,82,88,46,76
Laos,15,57,74,25,65,73,55,0,70
Laos,16,61,55,48,12,68,86,0,74
Laos,17,46,28,18,72,48,48,0,61
Laos,18,51,32,16,93,72,34,5,63
Laos,19,43,58,66,78,42,55,0,58
Malaysia,01,32,28,42,94,46,32,0,44
Malaysia,02,36,32,76,95,38,44,0,46
Malaysia,03,39,75,26,91,55,36,0,45
Malaysia,04,52,64,12,18,91,78,0,54
Malaysia,05,51,58,14,22,88,76,0,53
Malaysia,06,55,72,47,13,64,84,0,58
Malaysia,07,57,88,32,10,72,87,0,61
Malaysia,08,38,87,58,18,42,64,0,49
Malaysia,09,42,65,51,14,48,71,0,52
Malaysia,10,43,60,24,92,58,36,0,50
Malaysia,11,46,86,22,90,61,38,0,52
Malaysia,12,37,74,46,87,65,34,0,48
Malaysia,13,48,78,18,95,73,37,0,52
Malaysia,15,43,67,56,12,52,79,0,54
Malaysia,16,52,82,28,14,71,85,0,58
Malaysia,17,64,39,15,20,92,86,0,61
Malaysia,18,33,71,82,91,32,43,0,44
Malaysia,19,39,90,38,55,47,56,0,48
Malaysia,20,49,88,22,24,68,82,0,57
Malaysia,21,51,92,18,52,76,65,0,58
Malaysia,22,58,52,20,86,60,42,0,55
Malaysia,23,61,79,14,27,86,79,0,58
Malaysia,24,56,35,28,76,55,48,5,57
Malaysia,25,69,68,12,18,95,88,0,61
Malaysia,26,74,83,10,22,96,88,0,63
Malaysia,27,62,88,12,38,91,76,5,58
Malaysia,28,67,85,12,20,93,85,0,60
Malaysia,29,62,54,12,88,91,43,0,56
Malaysia,30,68,31,25,66,73,68,18,60
Malaysia,32,62,77,14,58,78,65,8,60
Malaysia,33,74,43,50,12,81,90,0,64
Malaysia,34,77,63,43,10,79,91,39,62
Malaysia,35,79,58,44,12,78,90,46,60
Malaysia,36,68,79,14,24,84,82,16,61
Malaysia,37,70,87,12,18,92,86,18,64
Malaysia,38,78,84,12,12,88,91,49,63
Malaysia,39,80,46,12,10,83,93,50,65
Malaysia,40,69,83,14,25,87,84,9,63
Malaysia,41,70,61,13,38,90,80,10,64
Malaysia,42,76,82,10,18,97,89,0,66
Malaysia,43,62,86,49,12,73,84,8,60
Myanmar,01,42,32,52,90,42,35,0,54
Myanmar,02,66,75,18,8,82,91,0,63
Myanmar,03,43,38,60,88,38,40,0,55
Myanmar,04,39,36,78,92,32,42,0,54
Myanmar,05,68,45,17,10,83,90,0,64
Myanmar,06,40,34,76,93,31,40,0,55
Myanmar,07,64,44,18,12,78,88,0,63
Myanmar,08,40,34,76,93,31,40,0,55
Myanmar,09,55,42,54,9,50,82,0,60
Myanmar,10,42,55,65,89,38,42,0,56
Myanmar,11,57,38,45,10,58,84,0,61
Myanmar,12,41,52,67,91,37,41,0,56
Myanmar,13,62,41,24,15,72,86,0,61
Myanmar,14,44,45,52,68,43,52,0,56
Myanmar,15,59,58,30,12,65,84,0,62
Myanmar,16,49,55,58,35,45,67,0,58
Myanmar,17,57,45,55,10,54,84,0,62
Myanmar,18,41,54,72,87,38,46,0,56
Myanmar,19,54,53,62,12,49,82,0,61
Myanmar,20,40,53,70,89,36,44,0,56
Myanmar,21,55,54,60,12,50,83,0,62
Myanmar,22,40,52,68,90,36,43,0,56
Myanmar,23,55,53,60,11,50,83,0,62
Myanmar,24,40,52,68,90,36,43,0,56
Myanmar,25,55,54,61,11,50,83,0,62
Myanmar,26,40,52,68,90,36,43,0,56
Myanmar,27,56,54,62,10,51,84,0,62
Myanmar,28,40,52,68,90,36,43,0,56
Myanmar,29,58,51,64,8,55,86,0,63
Myanmar,30,43,48,57,56,42,56,0,57
Myanmar,31,57,49,72,18,48,85,0,62
Myanmar,32,55,50,55,8,59,85,0,62
Myanmar,33,59,52,62,8,55,87,0,64
Myanmar,34,41,49,70,87,35,45,0,56
Myanmar,35,57,49,70,17,48,84,0,62
Myanmar,36,54,51,54,7,58,84,0,62
Myanmar,37,68,58,24,5,82,94,0,64
Myanmar,38,51,44,30,94,72,40,0,59
Myanmar,39,69,60,22,6,84,94,0,65
Myanmar,40,52,43,28,95,74,39,0,59
Myanmar,41,48,62,15,95,81,35,0,57
Myanmar,42,61,60,14,54,82,77,0,62
Myanmar,43,48,61,15,95,82,35,0,57
Myanmar,44,58,58,18,48,76,74,0,61
Myanmar,45,48,61,15,95,82,35,0,57
Myanmar,46,58,52,68,20,49,84,0,62
Myanmar,47,54,50,52,7,58,84,0,61
Myanmar,48,58,52,71,18,48,85,0,63
Myanmar,49,55,51,53,7,60,85,0,61
Myanmar,50,59,52,68,16,50,86,0,63
Myanmar,51,41,56,70,89,37,44,0,56
Myanmar,52,57,54,67,15,48,84,0,62
Myanmar,53,42,55,72,80,38,48,0,56
Myanmar,54,58,50,64,91,64,46,0,60
Myanmar,55,65,57,20,17,82,89,0,63
Myanmar,56,68,55,20,8,80,92,0,64
Myanmar,57,62,45,30,10,67,88,0,62
Myanmar,58,59,48,62,92,65,45,0,60
Myanmar,59,64,58,20,23,79,88,0,63
Myanmar,60,60,55,35,10,64,85,0,61
Myanmar,61,58,53,58,10,52,83,0,61
Myanmar,62,46,50,52,90,54,38,0,56
Myanmar,63,67,57,42,6,76,92,0,64
Philippines,01,64,72,18,18,83,86,0,58
Philippines,02,76,96,12,35,97,84,8,63
Philippines,03,78,94,12,38,95,83,21,65
Philippines,04,74,88,20,22,75,88,45,62
Philippines,05,54,68,45,14,60,80,5,56
Philippines,06,61,58,10,97,96,30,9,35
Philippines,07,59,84,20,15,63,86,0,57
Philippines,08,66,76,18,15,77,86,15,59
Philippines,09,65,80,42,16,76,86,0,60
Philippines,10,60,32,12,95,88,36,12,55
Philippines,11,58,55,18,12,68,84,0,56
Philippines,12,62,46,15,12,70,85,8,58
Philippines,13,48,88,12,92,69,32,0,30
Philippines,14,52,43,18,58,58,60,0,54
Philippines,15,63,44,32,45,58,72,25,58
Philippines,16,78,35,12,18,90,91,51,61
Philippines,17,65,45,72,90,45,68,0,62
Philippines,18,67,35,44,12,68,87,0,59
Philippines,19,70,40,18,12,76,89,38,60
Philippines,20,61,55,12,92,92,37,0,57
Philippines,21,61,47,17,10,70,86,8,58
Singapore,01,45,92,70,94,65,40,0,50
Singapore,02,42,80,18,93,62,38,0,48
Singapore,03,50,83,10,98,96,30,0,52
Singapore,04,61,95,18,14,75,87,8,56
Singapore,05,54,84,55,62,55,65,5,54
Singapore,06,58,87,78,91,68,48,0,55
Singapore,07,56,85,10,97,94,32,0,54
Singapore,08,49,82,63,12,45,84,0,56
Singapore,09,55,85,46,14,68,82,0,56
Singapore,10,61,88,52,15,72,86,0,58
Singapore,11,59,89,20,14,74,86,0,57
Singapore,12,68,86,15,10,88,91,0,60
Singapore,13,67,84,18,62,78,84,0,58
Singapore,14,57,82,52,14,67,83,0,57
Singapore,15,56,88,62,82,65,69,4,55
Singapore,16,70,86,12,10,92,92,0,60
Thailand,01,68,84,62,75,72,48,0,78
Thailand,02,72,65,48,12,72,86,0,82
Thailand,03,74,95,44,8,82,90,0,83
Thailand,04,76,89,14,20,96,86,0,84
Thailand,05,72,86,18,22,92,84,0,82
Thailand,06,73,91,16,20,94,85,0,83
Thailand,07,67,72,45,9,75,84,0,80
Thailand,08,70,86,47,8,80,88,0,82
Thailand,09,69,25,42,10,77,87,0,80
Thailand,10,59,28,82,94,60,38,0,74
Thailand,11,54,20,55,22,43,72,0,75
Thailand,12,58,25,52,12,55,80,0,78
Thailand,13,58,65,76,91,55,36,0,75
Thailand,14,67,67,78,88,69,44,0,78
Thailand,15,68,32,62,18,61,81,0,80
Thailand,16,71,92,45,8,78,89,0,82
Thailand,17,61,67,80,93,66,38,0,76
Thailand,18,79,94,15,18,93,90,43,85
Thailand,19,78,60,51,8,74,91,44,85
Thailand,20,73,62,15,20,92,87,0,83
Thailand,21,63,20,45,10,50,85,0,82
Thailand,22,55,18,20,92,58,34,0,74
Thailand,23,56,18,20,93,60,34,0,74
Thailand,24,66,22,32,35,76,86,0,80
Thailand,25,57,25,72,80,44,60,0,73
Thailand,26,60,52,70,80,55,63,0,74
Thailand,27,68,55,61,16,64,82,0,80
Thailand,28,70,83,45,12,80,86,0,81
Thailand,29,72,64,69,10,65,88,0,83
Thailand,30,70,77,66,23,68,84,0,82
Vietnam,01,61,35,18,16,69,85,0,84
Vietnam,02,57,25,16,67,72,58,0,78
Vietnam,03,43,20,35,92,32,45,0,68
Vietnam,04,61,55,20,12,68,86,6,79
Vietnam,05,56,38,14,78,72,52,5,77
Vietnam,06,45,28,50,20,42,70,0,75
Vietnam,07,58,32,12,91,78,38,0,82
Vietnam,08,59,35,10,94,86,35,0,86
Vietnam,09,44,25,76,90,30,44,0,78
Vietnam,10,47,25,52,24,42,67,0,73
Vietnam,11,49,28,12,90,58,38,0,83
Vietnam,12,72,76,50,35,68,83,46,86
Vietnam,13,62,32,67,35,54,81,0,88
Vietnam,14,58,25,48,8,64,84,0,82
Vietnam,15,42,20,82,91,28,48,0,88
Vietnam,16,57,31,12,86,80,45,0,84
Vietnam,17,60,27,62,85,67,69,0,82
Vietnam,18,71,35,52,12,63,86,42,88
Vietnam,19,57,32,78,78,45,78,0,90
Vietnam,20,62,28,68,82,64,72,0,87
Vietnam,21,51,20,84,90,35,55,5,89
Vietnam,22,67,22,42,8,61,88,0,90
Vietnam,23,58,24,52,10,54,85,0,89
Vietnam,24,62,25,24,12,78,86,0,88
Vietnam,25,69,28,26,30,70,92,0,75
Vietnam,26,54,20,38,10,53,80,0,85
Vietnam,27,61,25,14,18,79,87,0,88
Vietnam,28,60,32,55,40,46,78,0,91
Vietnam,29,70,20,18,15,82,92,0,90
Vietnam,30,72,25,16,90,80,50,0,92
Vietnam,31,59,32,75,93,66,50,0,86
Vietnam,32,73,25,58,8,60,89,45,92
